Protein Unique ID,Module Assignment (Number),Module Assigment (Color),kME Dark Orange,kME Dark Turquoise,kME Brown,kME Red,kME Turquoise,kME Light Green,kME White,kME Black,kME Green Yellow,kME Cyan,kME Salmon,kME Dark Red,kME Pink,kME Tan,kME Magenta,kME Light Cyan,kME Royal Blue,kME Midnight Blue,kME Purple,kME Light Yellow,kME Grey60,kME Blue,kME Yellow,kME Dark Green,kME Dark Grey,kME Green,kME Orange,kME Grey,kME Table Sort Vector
GDAP1|NP_061845.2,M4,yellow,0.058732793,-0.251319795,-0.708661153,-0.596014119,-0.829093984,-0.326582247,-0.156351449,-0.64188511,-0.485844682,-0.107636547,0.116694004,0.514632194,0.675493897,0.444261302,0.587468019,0.442562925,0.426154152,0.596014599,0.341123991,0.656713171,0.566076348,0.780873609,0.919025828,-0.096300851,-0.114311717,-0.263296665,0.087397247,-0.030755956,yellow|0.919
ND4|YP_003024035.1,M4,yellow,0.009615508,-0.474513946,-0.635990878,-0.589901341,-0.876944682,-0.276809574,-0.142396447,-0.720924771,-0.504919779,-0.04110293,0.067156641,0.504676407,0.582990429,0.435352968,0.469233073,0.354396724,0.41432814,0.694492976,0.495159487,0.800653705,0.64220098,0.886264991,0.916107075,0.003989758,0.046403871,-0.072483242,0.345620808,0.058181183,yellow|0.9161
SLC3A2|NP_002385.3,M4,yellow,-0.403996379,-0.58209197,-0.660000184,-0.715791828,-0.845667303,-0.457428454,-0.097989212,-0.603582332,-0.462661149,-0.17734916,-0.063088251,0.53075562,0.465536603,0.249473022,0.630941671,0.28595162,0.336094257,0.710435425,0.46670252,0.639145353,0.591991753,0.70782455,0.908233801,0.212452458,-0.090084004,-0.11114699,0.540714107,0.174423153,yellow|0.9082
CEND1|NP_057648.2,M4,yellow,0.01119287,-0.314794166,-0.732573099,-0.535517271,-0.876913979,-0.280339887,-0.105177057,-0.726971292,-0.451705686,-0.044187769,0.195483704,0.50942987,0.716209153,0.500716841,0.58872448,0.48491673,0.509990153,0.727862516,0.50191903,0.702295302,0.730766908,0.860360496,0.903771932,-0.008313405,-0.021069662,-0.273144251,0.173056795,0.039305641,yellow|0.9038
SLC25A18|NP_113669.1,M4,yellow,-0.089549916,-0.244782545,-0.838917612,-0.699311571,-0.726297612,-0.259018754,-0.097124271,-0.487961653,-0.099951985,0.047879404,0.024797842,0.694590845,0.623092676,0.43029282,0.752109017,0.33233779,0.632252334,0.800899485,0.527814159,0.507019481,0.601471281,0.628584047,0.884805555,0.16259265,-0.125303795,-0.3205807,0.100246284,0.192425255,yellow|0.8848
ATP5O|NP_001688.1,M4,yellow,-0.130799019,-0.313271332,-0.835386084,-0.6422682,-0.829354929,-0.339446139,-0.098358374,-0.679291597,-0.337594354,0.051287714,0.123477552,0.553877494,0.69425131,0.529409193,0.734134149,0.485770209,0.587945775,0.827517889,0.592986318,0.49522645,0.703410528,0.788909715,0.881978986,-0.016764325,-0.099551666,-0.286661639,0.23286411,0.151478457,yellow|0.882
SLC25A11|NP_003553.2,M4,yellow,0.018565517,-0.200749011,-0.59657291,-0.699148995,-0.812366853,-0.21974733,-0.194581378,-0.623535238,-0.415859499,-0.006138418,-0.048860183,0.670542148,0.634752132,0.40717885,0.557931481,0.245400252,0.462936182,0.604158892,0.472362832,0.606436758,0.518970946,0.708320767,0.877796568,0.093454361,0.012253907,-0.164491408,0.054950751,0.164236453,yellow|0.8778
SLC25A12|NP_003696.2,M4,yellow,-0.192899024,-0.452599484,-0.46107052,-0.77976206,-0.747315379,-0.347282569,-0.31725783,-0.552068161,-0.587673878,-0.285552511,-0.252603144,0.601334803,0.371518477,0.147867013,0.353961438,0.012617508,0.106309888,0.479519546,0.280834528,0.747709157,0.355516262,0.648591597,0.876232551,0.038485456,-0.013999333,0.091669642,0.323832443,0.062134368,yellow|0.8762
STX12|NP_803173.1,M4,yellow,0.10643397,-0.150958991,-0.768392896,-0.502791087,-0.794456816,-0.328454266,-0.057115476,-0.510304367,-0.231916903,0.047185269,0.163948265,0.54210447,0.699811778,0.546110471,0.560669678,0.490827422,0.516736907,0.759522035,0.493989806,0.469006169,0.746954004,0.753499793,0.866136759,0.074050725,-0.016012554,-0.315869247,0.054825904,-0.015215774,yellow|0.8661
MGST3|NP_004519.1,M4,yellow,-0.080208065,-0.405645966,-0.618516815,-0.710763187,-0.882548032,-0.32081076,0.042405132,-0.527743666,-0.447855037,-0.093973757,-0.194583871,0.620153011,0.502341774,0.318275269,0.537046089,0.324884514,0.417189884,0.479803042,0.328364759,0.835027947,0.599314086,0.705009488,0.865104528,0.025515956,-0.015010358,0.108306121,0.380032511,-0.05348009,yellow|0.8651
